"","scholar","author","year","keywd"
"1","title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt","authors","year","keywd"
"2","Essai sur l'origine des langues|http://books.google.com/books?hl=en&lr=&id=gAB9CAAAQBAJ&oi=fnd&pg=PT3&dq=+-calcul+Jean&ots=MBHzMwImnC&sig=Nk7SZHOjyAG3ple-EO_z5L11Kfk|2013|570|12|8029047039407026052|None|http://scholar.google.com/scholar?cites=8029047039407026052&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=8029047039407026052&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Date de première parution: 1781 «L'usage et le besoin font apprendre à chacun la langue de son pays; mais qu'est-ce qui fait que cette langue est celle de son pays et non pas d'un autre? Il faut bien remonter, pour le dire, à quelque raison qui tienne au local, et qui soit  ...","Jean Bégin","2014","none"
"3","Mater et magistra|http://books.google.com/books?hl=en&lr=&id=CMKXAwAAQBAJ&oi=fnd&pg=PT3&dq=+-calcul+Jean&ots=SCT3xDqfED&sig=hOFHSchzYCKqOWcf2BTytjci8L0|2014|320|67|9964545623503089474|None|http://scholar.google.com/scholar?cites=9964545623503089474&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=9964545623503089474&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Encyclique du Pape Jean XXIII, publiée le 15 mai 1961, sur l'engagement social de l'Eglise. Jean XXIII propose une grande encyclique"" sociale"", en partant de l'enseignement de Rerum Novarum, et en regardant l'évolution de la doctrine sociale de l'Eglise depuis la  ...","Jean Bégin","2014","none"
"4","La traduction raisonnée, 3e édition: Manuel d'initiation à la traduction professionnelle de l'anglais vers le français|http://books.google.com/books?hl=en&lr=&id=RZ1jAwAAQBAJ&oi=fnd&pg=PT4&dq=+-calcul+Jean&ots=Pa0K1r6PY9&sig=ARlTlLtrVi6a7CGBoLOxXnd-eoE|2013|257|0|12404099269272479758|None|http://scholar.google.com/scholar?cites=12404099269272479758&as_sdt=2005&sciodt=1,5&hl=en|None|None|Ce manuel, dont la visée est essentiellement pratique, propose une méthode d'initiation à la traduction professionnelle, par opposition aux exercices de traduction axés sur l'acquisition d'une langue étrangère. Il répond aux exigences particulières de formation des futurs  ...","Jean Bégin","2014","none"
"5","Play, dreams and imitation in childhood|http://books.google.com/books?hl=en&lr=&id=jk49prxDZ6gC&oi=fnd&pg=PP2&dq=+-calcul+Jean&ots=Yniw861Gdm&sig=YdD0riN4D31zXDLeuxQtuUU_LqU|2013|7615|4|8632037674296747332|None|http://scholar.google.com/scholar?cites=8632037674296747332&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=8632037674296747332&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|'This book re-addresses the concepts of neighbourhood and community in a refreshing and challenging way. It will be of immense benefit, not only to town planners but also to al those professional and voluntary groups and politicians who seek to create the new  ...","Jean Bégin","2014","none"
"6","The construction of reality in the child|http://books.google.com/books?hl=en&lr=&id=PpfGxMDZP-4C&oi=fnd&pg=PP2&dq=+-calcul+Jean&ots=LLpHLrbSoa&sig=_hAlV9MJW0o0Ex6RoelT9QrXNDI|2013|7422|7|16291555897950828821|None|http://scholar.google.com/scholar?cites=16291555897950828821&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=16291555897950828821&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|'This book re-addresses the concepts of neighbourhood and community in a refreshing and challenging way. It will be of immense benefit, not only to town planners but also to al those professional and voluntary groups and politicians who seek to create the new  ...","Jean Bégin","2014","none"
"7","Exposition méthodique des genres de l'ordre des polypiers|http://books.google.com/books?hl=en&lr=&id=3hyTAgAAQBAJ&oi=fnd&pg=PA93&dq=+-calcul+Jean&ots=oYW8i-u-Qa&sig=zytisW-10j3ZCSLTDpRDDVvpZGk|2014|138|2|3200941161299207496|None|http://scholar.google.com/scholar?cites=3200941161299207496&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=3200941161299207496&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|A professor of natural history at Caen and a member of the Académie des Sciences, Jean Vincent Félix Lamouroux (1779-1825) made significant contributions to the field of marine biology. Following the appearance in 1816 of his Histoire des polypiers corralligènes  ...","Jean Bégin","2014","none"
"8","Excuses for Nonpayment and Defenses to Actions for Premiums|http://scholar.google.com/https://litigation-essentials.lexisnexis.com/webcd/app?action=DocumentDisplay&crawlid=1&doctype=cite&docid=5-32+Appleman+on+Insurance+32.syn&srctype=smi&srcid=3052&key=2349abcf8bca5a9dad5b27fc9a7e6fe4|2014|4319|2|14113032435351504563|None|http://scholar.google.com/scholar?cites=14113032435351504563&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=14113032435351504563&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|This chapter, Excuses for Nonpayment and Defenses to Actions for Premiums, is divided into two main parts. Part A provides comprehensive coverage of defenses and excuses for nonpayment, and Part B covers defenses and excuses with respect to premium notes.","Jean Bégin","2014","none"
"9","The growth of logical thinking from childhood to adolescence: An essay on the construction of formal operational structures|http://books.google.com/books?hl=en&lr=&id=Dc77AQAAQBAJ&oi=fnd&pg=PP1&dq=+-calcul+Jean&ots=_r-_OTdnKS&sig=_SAAVe1Hf1AjwvfXWvhctts_3HE|2013|5892|12|4986671960138227954|None|http://scholar.google.com/scholar?cites=4986671960138227954&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=4986671960138227954&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|The International Library of Psychology THE GROWTH OF LOGICAL THINKING FROM CHILDHOOD TO ADOLESCENCE Founded by CK Ogden \ AYI» my!»   ... The International Linmry of Psychology THE GROWTH OF LOGICAL THINKING FROM CHILDHOOD TO ADOLESCENCE  ... ","Jean Bégin","2014","none"
"10","Child's Conception of Space: Selected Works|http://books.google.com/books?hl=en&lr=&id=iZeAAAAAQBAJ&oi=fnd&pg=PR3&dq=+-calcul+Jean&ots=NG97RuoelG&sig=m5P6ACZf9pjoGfrWq7jUP_ycPPk|2013|4376|7|13225575804595817515|None|http://scholar.google.com/scholar?cites=13225575804595817515&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=13225575804595817515&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Qaidu (1236-1301), one of the great rebels in the history of the Mongol Empire, was the grandson of Ogedei, the son Genghis Khan had chosen to be his heir. This boof recounts the dynastic convolutions and power struggle leading up to his rebellion and subsequent  ...","Jean Bégin","2014","none"
"11","Limit theorems for stochastic processes|http://books.google.com/books?hl=en&lr=&id=mSD4CAAAQBAJ&oi=fnd&pg=PA1&dq=+-calcul+Jean&ots=3fYkYAGTLn&sig=tnduYb-vQmi4RKNTG-y8aS15yWc|2013|4543|8|2804869277658797289|None|http://scholar.google.com/scholar?cites=2804869277658797289&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=2804869277658797289&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Initially the theory of convergence in law of stochastic processes was developed quite independently from the theory of martingales, semimartingales and stochastic integrals. Apart from a few exceptions essentially concerning diffusion processes, it is only recently  ...","Jean Bégin","2014","none"
"12","Structuralism (Psychology Revivals)|http://books.google.com/books?hl=en&lr=&id=SmoGCAAAQBAJ&oi=fnd&pg=PP1&dq=+-calcul+Jean&ots=X1NTjeP4xy&sig=cbpbNhryq8Td6--8tod9niE4hCU|2015|2867|10|4990519943200578288|None|http://scholar.google.com/scholar?cites=4990519943200578288&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=4990519943200578288&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Originally published in English in 1971, structuralism was an increasingly important method of analysis in disciplines as diverse as mathematics, physics, biology, psychology, linguistics, sociology, anthropology and philosophy. Piaget here offers both a definitive  ...","Jean Bégin","2014","none"
"13","Adsorption by powders and porous solids: principles, methodology and applications|http://books.google.com/books?hl=en&lr=&id=UOE-ZscCYncC&oi=fnd&pg=PP1&dq=+-calcul+Jean&ots=0RYUHBpqiy&sig=kzVw_THqexBIjCnOEpKBA-Y5qsM|2013|3808|5|8066203126208954609|None|http://scholar.google.com/scholar?cites=8066203126208954609&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=8066203126208954609&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|The declared objective of this book is to provide an introductory review of the various theoretical and practical aspects of adsorption by powders and porous solids with particular reference to materials of technological importance. The primary aim is to meet the needs  ...","Jean Bégin","2014","none"
"14","Convex analysis and minimization algorithms I: fundamentals|http://books.google.com/books?hl=en&lr=&id=W_b0CAAAQBAJ&oi=fnd&pg=PR15&dq=+-calcul+Jean&ots=cx3iG0Lg5E&sig=TfjEXw6Kty74hu29NzHI-dT_ovg|2013|3214|9|18322298460671636099|None|http://scholar.google.com/scholar?cites=18322298460671636099&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=18322298460671636099&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Convex Analysis may be considered as a refinement of standard calculus, with equalities and approximations replaced by inequalities. As such, it can easily be integrated into a graduate study curriculum. Minimization algorithms, more specifically those adapted to  ...","Jean Bégin","2014","none"
"15","Surviving Sepsis Campaign: international guidelines for management of severe sepsis and septic shock, 2012|http://link.springer.com/article/10.1007/S00134-012-2769-8|2013|3192|36|13314060100745475931|None|http://scholar.google.com/scholar?cites=13314060100745475931&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=13314060100745475931&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Objective To provide an update to the “Surviving Sepsis Campaign Guidelines for Management of Severe Sepsis and Septic Shock,” last published in 2008. Design A consensus committee of 68 international experts representing 30 international  ...","Jean Bégin","2014","none"
"16","Child's Conception of Number: Selected Works|http://books.google.com/books?hl=en&lr=&id=-qBqbJFFBy0C&oi=fnd&pg=PP1&dq=+-calcul+Jean&ots=lnhhFYJKqs&sig=9vvsVmMnyUiaxmKpSt4Cia1BSIo|2013|2697|7|16214948266711837559|None|http://scholar.google.com/scholar?cites=16214948266711837559&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=16214948266711837559&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Qaidu (1236-1301), one of the great rebels in the history of the Mongol Empire, was the grandson of Ogedei, the son Genghis Khan had chosen to be his heir. This boof recounts the dynastic convolutions and power struggle leading up to his rebellion and subsequent  ...","Jean Bégin","2014","none"
"17","Child's conception of geometry|http://books.google.com/books?hl=en&lr=&id=-tPoNSV35kQC&oi=fnd&pg=PT8&dq=+-calcul+Jean&ots=mNcnpkLUsr&sig=fX-UrL3SRBU7gwpqcnhJdblAKUw|2013|2679|8|13942334328875352523|None|http://scholar.google.com/scholar?cites=13942334328875352523&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=13942334328875352523&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|THE CHILD'S CONCEPTION OF GEOMETRY $4.3“ A<'?4>§'>.£.>Y'.¢.s“?.§   ... The International Library of Psychology The Child's Conception of Geometry Founded by CK Ogden   ... The International Library of Psychology Developmental Psychology In 32 Volumes I The Child's Discovery  ... ","Jean Bégin","2014","none"
"18","Action research: Principles and practice|http://books.google.com/books?hl=en&lr=&id=wCTzD9PMQ_0C&oi=fnd&pg=PR3&dq=+-calcul+Jean&ots=PRbsurPG1w&sig=GBUzopRULaVl4coO9s2l1IDKI60|2013|2273|6|524392887848858714|None|http://scholar.google.com/scholar?cites=524392887848858714&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=524392887848858714&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Since its first publication, Action Research: Principles and Practice has become a key text in its field. This new updated edition clearly describes and explains the practices of action research and its underlying values, and introduces important new ideas, including: all  ...","Jean Bégin","2014","none"
"19","Critical point theory and Hamiltonian systems|http://books.google.com/books?hl=en&lr=&id=w6bTBwAAQBAJ&oi=fnd&pg=PR7&dq=+-calcul+Jean&ots=oeZBdJk2Q4&sig=V3J1pI3oop8Cys2Yw7bvMtRSXVE|2013|2180|5|16911483510084235623|None|http://scholar.google.com/scholar?cites=16911483510084235623&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=16911483510084235623&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|FACHGEB The last decade has seen a tremendous development in critical point theory in infinite dimensional spaces and its application to nonlinear boundary value problems. In particular, striking results were obtained in the classical problem of periodic solutions of  ...","Jean Bégin","2014","none"
"20","Acoustique des instruments de musique (2e édition revue et augmentée)|http://scholar.google.com/https://hal.archives-ouvertes.fr/hal-00871263/|2013|119|2|10426008147242799331|None|http://scholar.google.com/scholar?cites=10426008147242799331&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=10426008147242799331&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Quel est le rôle du biseau d'une flûte? Comment se constitue le"" timbre"" d'un instrument, qui nous permet de distinguer à coup sûr une trompette d'une clarinette? À travers de nombreux exemples illustrés, cet ouvrage présente les bases nécessaires pour comprendre les  ...","Jean Bégin","2014","none"
"21","Local fields|http://books.google.com/books?hl=en&lr=&id=3LAJCAAAQBAJ&oi=fnd&pg=PA2&dq=+-calcul+Jean&ots=NWSunoEIxI&sig=TSpCqr1Wq6QyOrv3HEhG_gR-wWQ|2013|1676|9|12285204791756250926|None|http://scholar.google.com/scholar?cites=12285204791756250926&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=12285204791756250926&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|The goal of this book is to present local class field theory from the cohomo logical point of view, following the method inaugurated by Hochschild and developed by Artin-Tate. This theory is about extensions-primarily abelian-of"" local""(ie, complete for a discrete valuation)  ...","Jean Bégin","2014","none"
